japanese,translation
実用的,practical
客観的,objective
抽象的,abstract
送別会,farewell party
敷金,"deposit, security deposit"
日米,Japan and the US
専門家,"specialist, expert"
ホット,hot
わさび,Japanese horseradish
初詣,first shrine visit of the new year
ジョギング,jogging
社会人,working member of society
大急ぎ,in a great hurry
セルフサービス,self-service
くしゃくしゃ,"messy, crumpled"
食パン,bread in a rectangular shape
人差し指,"index finger, forefinger"
洋食,Western food
じめじめ,damp
じろじろ,staringly
つるつる,"smooth, slippery"
こしょう,pepper
びしょびしょ,"soaking wet, soaked"
ぎゅうぎゅう,"packed, crammed"
バツ,"cross, x-mark (on errors, mistakes etc.)"
水色,light blue
領収書,bill of receipt (for payment only)
自然に,naturally
とんかつ,pork cutlet
ねぎ,"spring onion, green onion"
きゅうり,cucumber
鰻,eel
まぐろ,tuna
パイナップル,pineapple
ほうれん草,spinach
マヨネーズ,mayonnaise
玉ねぎ,onion
焼き肉,"grilled meat, barbecued meat"
目薬,eye drops
寝過ごす,oversleep
国際的,international
国際化,internationalization
区役所,ward office
和室,Japanese-style room
本格的,"authentic, serious"
高速道路,"freeway, expressway"
とりあえず,"for now, for the time being"
先に,"before, ahead"
ぎりぎり,"just in time, barely"
慌ただしい,busy and hurried
今ごろ,"by now, at this time"
くっ付く,"stick, be attached"
北風,north wind
海老,shrimp
思い切って,"daringly, taking the plunge"
はっと,"taken aback, startled"
宛先,recipient’s address
ばらばら,"separately, discretely"
乗車券,"train ticket, bus ticket"
ぶるぶる,"shivering, trembling"
すらすら,"smoothly, easily"
終電,last train
ずるい,"cunning, sneaky"
すやすや,"(sleep) peacefully, soundly"
がたがた,"with a rattling noise, unstable"
非常口,emergency exit
ざらざら,"rough, gritty"
ぬるぬる,slimy
女らしい,"womanly, feminine"
急用,urgent business
きょろきょろ,look around
ぐずぐず,"slowly, tardily"
ぽかぽか,pleasantly warm
洗い物,dishes to be washed
かっと,"in a temper, in a rage"
どきっと,"surprised, shocked"
乗り遅れる,"miss (a train, bus, etc.)"
くたくた,exhausted
すべすべ,"smooth, silky"
にやにや,grin to oneself
あだ名,nickname
後片付け,cleaning up
イカ,squid
うきうき,excitedly
可愛がる,"love, cherish"
餃子,Chinese dumpling
げらげら,(laugh) out loud
ごめん,sorry
明々後日,three days from today
削減,"cutdown, reduction"
贅沢,"luxury, extravagance"
そのうち,"before long, sooner or later"
でこぼこ,"unevenness, bumpiness"
手のひら,palm
裸足,bare feet
べたべた,"stick together, sticky"
眉毛,eyebrows
割り箸,disposable chopsticks
日付け,"date (written in a document, etc.)"
ぴたりと,"suddenly, coming to a dead stop"
まな板,chopping board
筆記用具,"pens and pencils, writing materials"
くすぐる,tickle
かんかん,"furiously angry, in a rage"
白線,white (warning) line
見覚え,"recognition, remembrance"
これまで,"until now, until here"
からす,"crow, raven"
噛み付く,bite
白菜,Chinese cabbage
プロ野球,professional baseball
かみそり,razor
何十,several tens
何百,"several hundred, hundreds"
何千,"several thousand, thousands"
がくんと,"sharply, significantly"
飛び下りる,"jump off, jump down"
通行止め,road closed
行き止まり,dead end
真ん丸,"perfect circle, perfectly round"
いつの間に,without anyone noticing
くっ付ける,"attach (something), stick (something)"
付け足す,"add on, append"
得する,"profitable, beneficial"
損する,"lose, suffer loss"
言い返す,talk back
体温計,(clinical) thermometer
後戻り,"turning back, retreat"
話し声,talking voice
くるくる,"round and round, spin"
怖がる,"be afraid of, fear"
人違い,mistaken identity
取り返す,"take back, regain"
乗り降り,getting on and off
口喧嘩,quarrel
起き上がる,"get up, rise"
ぶら下がる,"hang down, dangle"
飛び上がる,"fly up, fump up"
泣き声,"tearful voice, sound of crying"
持ち物,one’s belongings
細長い,"long and thin, long and narrow"
出入り口,"doorway, gateway"
正座,sitting on one’s heels
大喜び,great joy
落とし物,lost property
じゃんじゃん,"many times, repeatedly"
見違える,look completely different
合理的,"rational, logical"
自主的,"voluntary, independent"
全面的,"full-scale, complete"
円高,strong yen
消費者,consumer
日中,Japan and China
明日,tomorrow (rather formal)
結構,"all right, no thank you"
辛い,"hard, painstaking"
まずい,"problematic, troublesome"
上下,top and bottom
生,"raw, fresh"
よける,"avoid, dodge"
がやがや,"noisily, loudly"
赤ん坊,(human) baby
ワープロ,word processor
新聞社,newspaper publisher
寝かす,put (someone) to bed
者,person (humble)
中,"middle, medium size"
性,"gender, sexual activities"
会,"meeting, association"
事,"thing, incident"
今日,these days
点,"point (of concern), dot"
バック,"back, reverse"
記事,"article, story"
大,"big, large size"
法,"law, rule"
非常,emergency
ただ,"simply, merely"
感じ,"feeling, impression"
環境,"environment, surroundings"
理解,"understanding, comprehension"
県,prefecture
使用,use
主義,"principle, -ism"
国民,citizen
下,under (someone’s) supervision
場,"occasion, situation"
労働,"labor, work"
機会,"opportunity, chance"
製品,"product, manufactured goods"
自身,self
かかる,"catch (a cold, etc.), come down with"
求める,"seek, yearn for"
下さる,give (honorific)
昨日,yesterday (formal)
元,"origin, former"
型,"type, model"
それぞれ,"each, respectively"
地方,local region
面,"surface, side"
実は,actually
夜,"night, evening"
地,"ground, place"
議論,"discussion, debate"
以前,"before, ago"
専門,"specialty, profession"
申し上げる,"tell, say (humble)"
行動,"action, conduct"
率,"ratio, rate"
監督,"supervisor, film director"
意識,"consciousness, awareness"
認める,"recognize, permit"
参考,"reference, consultation"
チーム,team
現実,reality
価値,"value, worth"
テーマ,"theme, subject matter"
含む,"contain, include"
際,"opportunity, time"
全て,"all, everything"
大臣,minister
国家,"state, nation"
試合,"match, game"
結局,"after all, finally"
消費,"consumption, spending"
人生,one’s life (to lead)
量,"quantity, amount"
精神,"mind, mentality"
レベル,level
我々,we (literary)
指導,"guide, instruction"
明日,tomorrow (very formal)
資料,"materials, data"
団体,"group, organization"
最も,the most
完全,"perfect, complete"
品,"goods, item"
男性,"male, man"
軍,military
描く,"depict, draw"
最終,"final, last (of something repeated)"
センター,"center (for an activity, etc.), hub"
障害,"obstacle, disorder"
医療,"medical service, healthcare"
頂く,"receive, eat (humble)"
金融,finance
学ぶ,"learn, study"
成長,growth
登場,"appearance (on stage, etc.)"
知識,knowledge
友人,friend (formal)
イメージ,image
トップ,"top, the best"
税,tax
変更,"alteration, change"
限り,limit
式,ceremony
展開,"development, storyline (plot)"
興味,interest
含める,include
編集,editing
選択,"selection, choice"
無料,"no charge, free"
身,"body, oneself, one’s status"
分析,analysis
予算,budget
目標,"target, goal"
通信,"correspondence, communication"
向ける,"turn toward, point at"
時刻,time (formal)
逆,"reverse, opposite"
最高,"supreme, best"
利益,"profit, benefit"
事務,"office work, business"
出版,"publishing, publication"
プロ,professional
様々,"various, diverse"
州,"state, province"
共通,commonality
現代,"present age, modern times"
被害,"damage, harm"
新た,"new, fresh"
相当,"suitability, equivalence"
更新,"renewal, update"
得る,"obtain, gain"
内,inside
維持,"maintenance, upkeep"
料金,"charge, fee (for using facilities, etc.)"
到着,arrival
なま物,uncooked food
章,chapter
メンバー,member
演奏,musical performance
案,"plan, idea"
希望,"hope, wish"
記憶,"memory, remembrance"
モデル,model
方々,people (polite)
発売,"launch, release (of a product)"
話題,"topic of conversation, being talked about"
目指す,aim for
建築,"construction, architecture"
印象,impression
権利,"right, privilege"
学習,"study, learning"
発展,"development, expansion"
現場,"scene, job site"
気分,"feeling, mood"
移動,"movement, shift"
発行,"publication, issue"
宗教,religion
改正,"revision, amendment"
倍,"double, times"
不安,"uneasy, worried"
自ら,"(for) oneself, personally"
広告,advertisement
共同,"joint, cooperation"
年代,"generation, era"
タイプ,type
差,difference
営業,"business, sales"
役割,"role, duty, responsibility"
改善,improvement
撮影,"photographing, shoot"
エネルギー,energy
憲法,"constitution, constitutional law"
感謝,"gratitude, thanks"
感覚,"sense, feel"
旅,"journey, travel"
合わせる,"match (something), adapt (oneself)"
既に,already
現状,"current condition, situation"
先日,"the other day, a few days ago"
中央,"center, middle"
似る,"resemble, be alike"
平均,average
末,"the end, in the end"
追加,"addition, supplement"
なさる,do (honorific)
様子,"the state of affairs, how someone appears"
活用,"practical use, application"
交換,"exchange, bartering"
整備,maintenance
想像,imagination
ああ,"like that, that much"
満足,"satisfaction, contentment"
以降,"thereafter, later than"
比較,comparison
クラス,"class, category"
犯罪,"offense, crime"
おっしゃる,"say, tell (honorific)"
特定,"specifying, identifying"
基礎,"base, foundation"
流れ,"flow, stream"
どうも,"for no special reason, somehow"
村,village
安定,"stability, composure"
本人,"the person himself, the said person"
雰囲気,"atmosphere, mood"
会場,"venue, site"
電子,"electron, electronic"
文,sentence
範囲,"range, scope"
常に,"always, at all times (formal)"
失う,"lose, miss"
日常,"everyday life, daily life"
回答,"reply, answer"
体制,"system, structure"
調整,"regulation, adjustment"
疑問,"question, doubt"
応援,"support, cheering"
感想,"thought, impression"
解説,"explanation, commentary"
シリーズ,series
公共,"public, community"
民間,"private, civilian"
裁判,"trial, judgment"
組合,"union, guild"
本来,"originally, primarily"
一体,what on earth
宇宙,"universe, space"
申す,"say, tell (humble)"
図,"figure, diagram"
クラブ,club
観光,sightseeing
提出,"presentation, submission (of a report, plan, etc.)"
以来,since then
離れる,get away from
生,"life, living"
性格,"character, personality"
検査,"inspection, examination"
信頼,"reliance, trust"
人物,"character, person"
触れる,"touch, come in contact with"
記念,"commemoration, memory"
役,"role, part"
費用,"expense, cost"
指定,"designation, appointment"
感情,"feeling, emotion"
空,"emptiness, hollow"
関わる,"be involved, be concerned"
仲間,"comrade, peer"
整理,"putting something in order, sorting out"
至る,"come to, reach"
独立,"independence, self-reliance"
賞,"prize, award"
誕生,birth
いらっしゃる,"come, go (honorific)"
都,metropolis of Tokyo
全員,"all members, entire staff"
明確,clear and specific
少なくとも,"at least, at a minimum"
セット,set
魅力,"charm, attraction"
きちんと,"properly, neatly"
手段,"means, way"
有効,"effective, valid"
集中,"concentration, convergence"
現象,phenomenon
感動,"to be impressed, to be touched"
禁止,"prohibition, forbiddance"
会員,"member (of an association, society, etc.)"
過ごす,spend (time)
納得,to fully understand and accept
収入,income
レポート,"report, paper"
年齢,age
舞台,"stage, setting"
交通,"traffic, transportation"
他人,"other people, stranger"
組,"school class, group, pair"
否定,"denial, negation"
扱う,"handle, deal with"
修正,"correction, revision"
一応,"tentatively, just in case"
生じる,"happen, occur"
訪問,visit
引用,"quotation, citation"
芸術,"art, arts and crafts"
解釈,"interpretation, explanation"
行,"line, row"
結論,conclusion
困難,"difficulty, hardship"
回復,"recovery, recuperation"
適用,"application, coverage"
集団,"group, mass"
事態,"situation, state of affairs"
スタート,"start, begin"
更に,"furthermore, still more"
活躍,"(successful) performance, action"
命,life (colloquial)
医師,"doctor, physician (formal)"
おる,"be present, stay (humble)"
現れる,"appear, emerge"
講演,"lecture, talk"
瞬間,moment
交流,"interaction, contact"
標準,"standard, norm"
まるで,just like
スタイル,"style, physique"
関心,"concern, interest"
取り上げる,"take, confiscate"
伝統,tradition
民主,democracy
制限,"restriction, limit"
投票,"vote, ballot"
心理,"mentality, psychology"
大体,"about, anyway"
突然,suddenly
思想,"thought, conception"
応じる,"answer, comply with"
不足,"lack, shortage"
コード,cord
世の中,"the world, society"
項目,"item, topic"
旧,"old, former"
次第,as soon as
長期,long period
著者,"author, writer"
罪,"crime, sin"
楽,"comfortable, easy"
操作,"operation, manipulation"
支配,"control, rule"
態度,attitude
過程,"process, course"
バランス,balance
連続,"continuation, series"
機関,"agency, facility"
論,"argument, theory"
島,island
,
